# Shopify Product Taxonomy - Attributes: 2026-05
# Format: {GID} : {Attribute name}

gid://shopify/TaxonomyAttribute/5398  : Дизайн 3D-очков
gid://shopify/TaxonomyAttribute/7044  : Текстура поверхности мяча
gid://shopify/TaxonomyAttribute/7045  : Тип поверхности мяча
gid://shopify/TaxonomyAttribute/6283  : Материал балласта
gid://shopify/TaxonomyAttribute/8051  : Конфигурация баллонета
gid://shopify/TaxonomyAttribute/8993  : Тип застежки/клапана воздушного шара
gid://shopify/TaxonomyAttribute/8994  : Отделка набора воздушных шаров
gid://shopify/TaxonomyAttribute/2505  : Состав набора для декораций из воздушных шаров
gid://shopify/TaxonomyAttribute/8995  : Материал набора воздушных шаров
gid://shopify/TaxonomyAttribute/2506  : Форма воздушного шара
gid://shopify/TaxonomyAttribute/7621  : Сорт бананов
gid://shopify/TaxonomyAttribute/2242  : Прочность резинок
gid://shopify/TaxonomyAttribute/5123  : Форма бинта
gid://shopify/TaxonomyAttribute/8996  : Тип мембраны банджо
gid://shopify/TaxonomyAttribute/8997  : Материал грифа банджо
gid://shopify/TaxonomyAttribute/8998  : Конфигурация звукоснимателя банджо
gid://shopify/TaxonomyAttribute/8999  : Материал обода банджо
gid://shopify/TaxonomyAttribute/9000  : Тип тонального кольца банджо
gid://shopify/TaxonomyAttribute/9001  : Тип колковых механизмов банджо
gid://shopify/TaxonomyAttribute/9002  : Аутентификация/оценка банкноты
gid://shopify/TaxonomyAttribute/9003  : Состояние банкноты
gid://shopify/TaxonomyAttribute/9004  : Тип держателя банкноты
gid://shopify/TaxonomyAttribute/9005  : Материал банкноты
gid://shopify/TaxonomyAttribute/9006  : Защитные элементы банкнот
gid://shopify/TaxonomyAttribute/9007  : Тип серийного номера банкноты
gid://shopify/TaxonomyAttribute/2507  : Тип растяжки
gid://shopify/TaxonomyAttribute/9008  : Место размещения баннера
gid://shopify/TaxonomyAttribute/9009  : Тип крепежа для баннера
gid://shopify/TaxonomyAttribute/9010  : Тип надписи на баннере
gid://shopify/TaxonomyAttribute/9011  : Форма баннера
gid://shopify/TaxonomyAttribute/6867  : Конфигурация банкетки
gid://shopify/TaxonomyAttribute/7622  : Покрытие батончика
gid://shopify/TaxonomyAttribute/2860  : Способ установки турника
gid://shopify/TaxonomyAttribute/8052  : Стиль накладки
gid://shopify/TaxonomyAttribute/7623  : Текстура батончика
gid://shopify/TaxonomyAttribute/7046  : Тип зацепа
gid://shopify/TaxonomyAttribute/7047  : Покрытие штанги
gid://shopify/TaxonomyAttribute/7048  : Рисунок накатной поверхности штанги
gid://shopify/TaxonomyAttribute/5635  : Форм-фактор сканера штрихкодов
gid://shopify/TaxonomyAttribute/1902  : Интерфейс сканера штрихкодов
gid://shopify/TaxonomyAttribute/1903  : Поддерживаемые штрихкоды
gid://shopify/TaxonomyAttribute/7624  : Пригодность для бариста
gid://shopify/TaxonomyAttribute/7049  : Конфигурация балетного станка
gid://shopify/TaxonomyAttribute/1648  : Материал рабочей поверхности
gid://shopify/TaxonomyAttribute/7625  : Тип бочки
gid://shopify/TaxonomyAttribute/7050  : Профиль ствола
gid://shopify/TaxonomyAttribute/5155  : Форма барабана
gid://shopify/TaxonomyAttribute/7051  : Стандарт резьбы ствола
gid://shopify/TaxonomyAttribute/3359  : Состав набора барной посуды
gid://shopify/TaxonomyAttribute/2810  : Материал барной посуды
gid://shopify/TaxonomyAttribute/7052  : Способ крепления основания
gid://shopify/TaxonomyAttribute/7053  : Метод утяжеления основания
gid://shopify/TaxonomyAttribute/6868  : Конфигурация основания
gid://shopify/TaxonomyAttribute/6284  : Характеристики основания
gid://shopify/TaxonomyAttribute/7054  : Материал наполнителя основания
gid://shopify/TaxonomyAttribute/7626  : Основной ингредиент
gid://shopify/TaxonomyAttribute/1660  : Основное масло
gid://shopify/TaxonomyAttribute/8053  : Тип базового масла
gid://shopify/TaxonomyAttribute/1471  : Основной алкогольный напиток
gid://shopify/TaxonomyAttribute/6869  : Тип системы хранения в основании
gid://shopify/TaxonomyAttribute/1795  : Тип подставки
gid://shopify/TaxonomyAttribute/7056  : Сертификация бейсбольных и софтбольных лиг
gid://shopify/TaxonomyAttribute/7055  : тип бейсбольной перчатки
gid://shopify/TaxonomyAttribute/6349  : Состав набора игрушек для бейсбола
gid://shopify/TaxonomyAttribute/1970  : Тип мяча для бейсбола или софтбола
gid://shopify/TaxonomyAttribute/7057  : Роль использования в бейсболе/софтболе
gid://shopify/TaxonomyAttribute/7058  : Конструкция опорной плиты
gid://shopify/TaxonomyAttribute/2798  : Материал корзины
gid://shopify/TaxonomyAttribute/2846  : Снаряжение для баскетбола в комплекте
gid://shopify/TaxonomyAttribute/7059  : Тип аксессуара для баскетбольного кольца
gid://shopify/TaxonomyAttribute/7060  : Расположение баскетбольной накладки
gid://shopify/TaxonomyAttribute/7061  : Тип баскетбольного кольца
gid://shopify/TaxonomyAttribute/6350  : Особенности баскетбольных игрушек
gid://shopify/TaxonomyAttribute/2462  : Басовые кнопки
gid://shopify/TaxonomyAttribute/9012  : Материал корпуса бас-кларнета
gid://shopify/TaxonomyAttribute/9013  : Самая низкая нота бас-кларнета
gid://shopify/TaxonomyAttribute/9014  : Форма головки бита бас-барабана
gid://shopify/TaxonomyAttribute/9015  : Материал стержня бита бас-барабана
gid://shopify/TaxonomyAttribute/9016  : Встроенная система глушения мембраны бас-барабана
gid://shopify/TaxonomyAttribute/9017  : Конфигурация барабанной головки бас-барабана
gid://shopify/TaxonomyAttribute/9018  : Отделка поверхности барабанной головки бас-барабана
gid://shopify/TaxonomyAttribute/9019  : Тип барабанной головки бас-барабана
gid://shopify/TaxonomyAttribute/9020  : Материал обода бас-барабана
gid://shopify/TaxonomyAttribute/9021  : Тип крепления бас-барабана
gid://shopify/TaxonomyAttribute/9022  : Материал гребенки басовой губной гармоники
